question,category,law,answer,severity,action
My university is delaying my degree without any valid reason. Is this considered fraud?,Housing Fraud,Indian Penal Code,"In this situation, the issue appears to be related to housing fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
"The college website shows NAAC A+ accreditation, but I later found it is fake. What are my rights?",Academic Fraud,IT Act 2000,"In this situation, the issue appears to be related to academic fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The college forced me to buy books from their own store at higher prices. Is this allowed?,Academic Fraud,UGC Guidelines,"In this situation, the issue appears to be related to academic fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The hostel charged full fees but basic facilities like water and electricity are missing. Can I complain?,Placement Fraud,UGC Act 1956,"In this situation, the issue appears to be related to placement fraud. Under UGC Act 1956, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The college forced me to buy books from their own store at higher prices. Is this allowed?,Placement Fraud,UGC Guidelines,"In this situation, the issue appears to be related to placement fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
"The college website shows NAAC A+ accreditation, but I later found it is fake. What are my rights?",Admission Fraud,UGC Act 1956,"In this situation, the issue appears to be related to admission fraud. Under UGC Act 1956, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My college asked for an additional 'development fee' after I had already paid the full tuition. Is this legal?,Fees Fraud,IT Act 2000,"In this situation, the issue appears to be related to fees fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My university is delaying my degree without any valid reason. Is this considered fraud?,Placement Fraud,Indian Penal Code,"In this situation, the issue appears to be related to placement fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
"The college website shows NAAC A+ accreditation, but I later found it is fake. What are my rights?",Fees Fraud,IT Act 2000,"In this situation, the issue appears to be related to fees fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The institute promised international placements during admission but now says it's not guaranteed. What can I do?,Admission Fraud,UGC Guidelines,"In this situation, the issue appears to be related to admission fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
"The college website shows NAAC A+ accreditation, but I later found it is fake. What are my rights?",Admission Fraud,UGC Guidelines,"In this situation, the issue appears to be related to admission fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The placement cell arranged fake interviews just to show records. Is this punishable?,Housing Fraud,UGC Guidelines,"In this situation, the issue appears to be related to housing fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
I paid a donation for admission but got no receipt. How can I take action?,Fees Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to fees fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The placement cell arranged fake interviews just to show records. Is this punishable?,Academic Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to academic fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The institute promised international placements during admission but now says it's not guaranteed. What can I do?,Scholarship Fraud,UGC Guidelines,"In this situation, the issue appears to be related to scholarship fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My university is delaying my degree without any valid reason. Is this considered fraud?,Housing Fraud,IT Act 2000,"In this situation, the issue appears to be related to housing fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
"The college website shows NAAC A+ accreditation, but I later found it is fake. What are my rights?",Housing Fraud,Indian Penal Code,"In this situation, the issue appears to be related to housing fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My university is delaying my degree without any valid reason. Is this considered fraud?,Admission Fraud,Indian Penal Code,"In this situation, the issue appears to be related to admission fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My college asked for an additional 'development fee' after I had already paid the full tuition. Is this legal?,Fees Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to fees fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The hostel charged full fees but basic facilities like water and electricity are missing. Can I complain?,Academic Fraud,UGC Guidelines,"In this situation, the issue appears to be related to academic fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My scholarship amount was credited to the college but never given to me. What legal steps can I take?,Scholarship Fraud,Indian Penal Code,"In this situation, the issue appears to be related to scholarship fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
I paid a donation for admission but got no receipt. How can I take action?,Privacy Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to privacy fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My scholarship amount was credited to the college but never given to me. What legal steps can I take?,Admission Fraud,UGC Guidelines,"In this situation, the issue appears to be related to admission fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The hostel charged full fees but basic facilities like water and electricity are missing. Can I complain?,Scholarship Fraud,Indian Penal Code,"In this situation, the issue appears to be related to scholarship fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The hostel charged full fees but basic facilities like water and electricity are missing. Can I complain?,Fees Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to fees fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The hostel charged full fees but basic facilities like water and electricity are missing. Can I complain?,Privacy Fraud,Indian Penal Code,"In this situation, the issue appears to be related to privacy fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
"The college website shows NAAC A+ accreditation, but I later found it is fake. What are my rights?",Housing Fraud,UGC Guidelines,"In this situation, the issue appears to be related to housing fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
"The college website shows NAAC A+ accreditation, but I later found it is fake. What are my rights?",Fees Fraud,IT Act 2000,"In this situation, the issue appears to be related to fees fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
I paid a donation for admission but got no receipt. How can I take action?,Scholarship Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to scholarship fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My college asked for an additional 'development fee' after I had already paid the full tuition. Is this legal?,Fees Fraud,Indian Penal Code,"In this situation, the issue appears to be related to fees fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
"The college website shows NAAC A+ accreditation, but I later found it is fake. What are my rights?",Housing Fraud,UGC Act 1956,"In this situation, the issue appears to be related to housing fraud. Under UGC Act 1956, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The institute promised international placements during admission but now says it's not guaranteed. What can I do?,Placement Fraud,Indian Penal Code,"In this situation, the issue appears to be related to placement fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The hostel charged full fees but basic facilities like water and electricity are missing. Can I complain?,Privacy Fraud,UGC Guidelines,"In this situation, the issue appears to be related to privacy fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My internal marks were reduced after I refused to pay extra money. What should I do?,Placement Fraud,IT Act 2000,"In this situation, the issue appears to be related to placement fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The institute promised international placements during admission but now says it's not guaranteed. What can I do?,Privacy Fraud,UGC Guidelines,"In this situation, the issue appears to be related to privacy fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The institute promised international placements during admission but now says it's not guaranteed. What can I do?,Academic Fraud,IT Act 2000,"In this situation, the issue appears to be related to academic fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My university is delaying my degree without any valid reason. Is this considered fraud?,Privacy Fraud,UGC Guidelines,"In this situation, the issue appears to be related to privacy fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My university is delaying my degree without any valid reason. Is this considered fraud?,Placement Fraud,UGC Act 1956,"In this situation, the issue appears to be related to placement fraud. Under UGC Act 1956, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
I paid a donation for admission but got no receipt. How can I take action?,Scholarship Fraud,Indian Penal Code,"In this situation, the issue appears to be related to scholarship fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My college asked for an additional 'development fee' after I had already paid the full tuition. Is this legal?,Scholarship Fraud,UGC Guidelines,"In this situation, the issue appears to be related to scholarship fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
I paid a donation for admission but got no receipt. How can I take action?,Fees Fraud,UGC Guidelines,"In this situation, the issue appears to be related to fees fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The college forced me to buy books from their own store at higher prices. Is this allowed?,Fees Fraud,IT Act 2000,"In this situation, the issue appears to be related to fees fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The placement cell arranged fake interviews just to show records. Is this punishable?,Privacy Fraud,Indian Penal Code,"In this situation, the issue appears to be related to privacy fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My university is delaying my degree without any valid reason. Is this considered fraud?,Housing Fraud,Indian Penal Code,"In this situation, the issue appears to be related to housing fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
My university is delaying my degree without any valid reason. Is this considered fraud?,Privacy Fraud,UGC Guidelines,"In this situation, the issue appears to be related to privacy fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The college forced me to buy books from their own store at higher prices. Is this allowed?,Fees Fraud,UGC Act 1956,"In this situation, the issue appears to be related to fees fraud. Under UGC Act 1956, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
"The college website shows NAAC A+ accreditation, but I later found it is fake. What are my rights?",Placement Fraud,UGC Guidelines,"In this situation, the issue appears to be related to placement fraud. Under UGC Guidelines, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My university is delaying my degree without any valid reason. Is this considered fraud?,Admission Fraud,Indian Penal Code,"In this situation, the issue appears to be related to admission fraud. Under Indian Penal Code, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My scholarship amount was credited to the college but never given to me. What legal steps can I take?,Placement Fraud,IT Act 2000,"In this situation, the issue appears to be related to placement fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
"The college website shows NAAC A+ accreditation, but I later found it is fake. What are my rights?",Housing Fraud,IT Act 2000,"In this situation, the issue appears to be related to housing fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
The hostel charged full fees but basic facilities like water and electricity are missing. Can I complain?,Placement Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to placement fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",High,FIR
My scholarship amount was credited to the college but never given to me. What legal steps can I take?,Admission Fraud,IT Act 2000,"In this situation, the issue appears to be related to admission fraud. Under IT Act 2000, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
I paid a donation for admission but got no receipt. How can I take action?,Housing Fraud,UGC Act 1956,"In this situation, the issue appears to be related to housing fraud. Under UGC Act 1956, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
The placement cell arranged fake interviews just to show records. Is this punishable?,Fees Fraud,Consumer Protection Act 2019,"In this situation, the issue appears to be related to fees fraud. Under Consumer Protection Act 2019, such actions by an educational institution may be considered unfair or fraudulent. Students should collect evidence such as receipts, screenshots, emails, or official notices. Initially, the matter should be raised with the institution’s grievance cell. If unresolved, it can be escalated to authorities like UGC or consumer court. In serious cases, filing an FIR may also be appropriate. Legal remedies may include refund, compensation, or disciplinary action against the institution.",Medium,Complaint
is a student portest agains college policies,User Learned,Feedback,"[Discipline] Under UGC, Only with valid reason. Ensure due process (notice and hearing) is followed; you can appeal decisions. (Confidence: 36.62%)",Medium,Learned
